epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.677,1.22502,0.89811,1.11435,0.9789,0.97421,0.9881,0.65162,1.17302,0.64801,1.09477,0.0670799,0.000332526,0.000332526
2,290.105,1.18175,0.65168,1.08621,0.95595,0.9844,0.98369,0.63702,1.12604,0.81986,1.08254,0.0340733,0.000659268,0.000659268
3,417.394,1.16798,0.61769,1.07731,0.98737,0.98495,0.99186,0.68173,1.14747,0.53698,1.07995,0.00106012,0.000979409,0.000979409
4,544.214,1.15298,0.592,1.07008,0.97968,0.98334,0.99212,0.69215,1.11589,0.53091,1.06556,0.0009703,0.0009703,0.0009703
5,670.532,1.1397,0.57891,1.06455,0.98388,0.98874,0.99242,0.69403,1.0986,0.52153,1.05388,0.0009604,0.0009604,0.0009604
6,796.853,1.12498,0.54754,1.0556,0.98619,0.9832,0.99314,0.69878,1.12324,0.4769,1.05828,0.0009505,0.0009505,0.0009505
7,923.326,1.13181,0.55407,1.05765,0.98972,0.9892,0.993,0.70893,1.1073,0.46881,1.05117,0.0009406,0.0009406,0.0009406
8,1050.33,1.11911,0.5421,1.05234,0.98916,0.98502,0.99383,0.69767,1.09892,0.49686,1.05036,0.0009307,0.0009307,0.0009307
9,150.324,1.1035,0.57413,1.05318,0.98742,0.989,0.99361,0.71494,1.08417,0.46564,1.0405,0.0009208,0.0009208,0.0009208
10,274.398,1.10451,0.52174,1.05046,0.99572,0.9868,0.9941,0.70604,1.1038,0.47013,1.0505,0.0009109,0.0009109,0.0009109
11,400.324,1.09639,0.50838,1.04513,0.98822,0.988,0.99263,0.71384,1.11617,0.45811,1.04783,0.000901,0.000901,0.000901
12,528.217,1.08965,0.50998,1.03922,0.9839,0.99008,0.9937,0.69724,1.11957,0.44374,1.0415,0.0008911,0.0008911,0.0008911
13,653.648,1.08614,0.50937,1.03465,0.98781,0.991,0.9945,0.71604,1.0762,0.45052,1.03823,0.0008812,0.0008812,0.0008812
